simulating fixed probability counter with p=0.5 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36743
o: 19292
i: 9856
e: 7376
a: 7252
g: 4858
m: 4778
u: 2495
f: 2492
d: 2440
l: 2418

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
e                  3707              7414          7376                5            4  100.51518438177874%                38  0.5151843817787419%
g                  2433              4866          4858                6            6  100.16467682173733%                 8  0.16467682173734047%
m                  2409              4818          4778                7            7  100.83717036416911%                40  0.8371703641691084%
u                  1241              2482          2495                8            8  99.47895791583167%                 13  0.5210420841683366%
d                  1230              2460          2440                9           10  100.81967213114753%                20  0.819672131147541%
f                  1229              2458          2492               10            9  98.63563402889245%                 34  1.3643659711075442%
l                  1228              2456          2418               11           11  101.57154673283706%                38  1.5715467328370554%

######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                 18251             36502         36743                1            1  99.344092752361%                  241  0.6559072476390061%
o                  9791             19582         19292                2            2  101.50321376736471%               290  1.5032137673647108%
i                  5003             10006          9856                3            3  101.5219155844156%                150  1.5219155844155845%
a                  3596              7192          7252                4            5  99.17264202978488%                 60  0.827357970215113%
e                  3574              7148          7376                5            4  96.90889370932754%                228  3.091106290672451%
g                  2429              4858          4858                6            6  100.0%                              0  0.0%
m                  2388              4776          4778                7            7  99.95814148179154%                  2  0.041858518208455424%
d                  1254              2508          2440                8           10  102.78688524590164%                68  2.7868852459016393%
f                  1237              2474          2492                9            9  99.2776886035313%                  18  0.7223113964686998%
u                  1232              2464          2495               10            8  98.75751503006012%                 31  1.2424849699398797%
l                  1169              2338          2418               11           11  96.6914805624483%                  80  3.3085194375516958%

######################## Simulation nr 5 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18433             36866         36743                1            1  100.33475764091119%               123  0.334757640911194%
o                  9678             19356         19292                2            2  100.33174372797014%                64  0.33174372797014307%
i                  4970              9940          9856                3            3  100.85227272727273%                84  0.8522727272727272%
e                  3690              7380          7376                4            4  100.05422993492408%                 4  0.05422993492407809%
a                  3657              7314          7252                5            5  100.85493656922229%                62  0.8549365692222834%
m                  2403              4806          4778                6            7  100.58601925491837%                28  0.5860192549183758%
g                  2400              4800          4858                7            6  98.80609304240429%                 58  1.1939069575957184%
d                  1225              2450          2440                8           10  100.40983606557377%                10  0.4098360655737705%
u                  1215              2430          2495                9            8  97.39478957915831%                 65  2.6052104208416833%
f                  1212              2424          2492               10            9  97.27126805778491%                 68  2.7287319422150884%
l                  1187              2374          2418               11           11  98.18031430934657%                 44  1.8196856906534327%

######################## Simulation nr 6 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18204             36408         36743                1            1  99.08826170971341%                335  0.9117382902865852%
o                  9764             19528         19292                2            2  101.2233049968899%                236  1.2233049968899026%
i                  4857              9714          9856                3            3  98.55925324675324%                142  1.4407467532467533%
e                  3762              7524          7376                4            4  102.0065075921909%                148  2.0065075921908893%
a                  3613              7226          7252                5            5  99.64147821290679%                 26  0.35852178709321564%
g                  2404              4808          4858                6            6  98.97076986414162%                 50  1.029230135858378%
m                  2353              4706          4778                7            7  98.4930933444956%                  72  1.506906655504395%
u                  1267              2534          2495                8            8  101.56312625250501%                39  1.56312625250501%
f                  1255              2510          2492                9            9  100.7223113964687%                 18  0.7223113964686998%
l                  1232              2464          2418               10           11  101.90239867659223%                46  1.902398676592225%
d                  1203              2406          2440               11           10  98.60655737704917%                 34  1.3934426229508197%

######################## Simulation nr 7 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18557             37114         36743                1            1  101.00971613640692%               371  1.0097161364069347%
o                  9642             19284         19292                2            2  99.95853203400374%                  8  0.04146796599626788%
i                  4892              9784          9856                3            3  99.26948051948052%                 72  0.7305194805194805%
e                  3662              7324          7376                4            4  99.29501084598698%                 52  0.7049891540130151%
a                  3629              7258          7252                5            5  100.08273579702151%                 6  0.0827357970215113%
