simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100
Exact occurrences of the chain:
o: 31
r: 28
i: 10
u: 8
a: 6
g: 6
m: 4
e: 3
l: 2
f: 1
d: 1

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
r                     7                 26            28                 2            2  92.85714285714286%                  2  7.142857142857142%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     4                  9             8                 4            4  112.5%                              1  12.5%
m                     4                  9             4                 5            7  225.0%                              5  125.0%
e                     3                  6             3                 6            8  200.0%                              3  100.0%
a                     3                  6             6                 7            5  100.0%                              0  0.0%
g                     3                  6             6                 8            6  100.0%                              0  0.0%
l                     2                  4             2                 9            9  200.0%                              2  100.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 18 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
o                     8                 38            31                 1            1  122.58064516129032%                 7  22.58064516129032%
r                     7                 26            28                 2            2  92.85714285714286%                  2  7.142857142857142%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     4                  9             8                 4            4  112.5%                              1  12.5%
a                     4                  9             6                 5            5  150.0%                              3  50.0%
m                     4                  9             4                 6            7  225.0%                              5  125.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
e                     1                  2             3                 9            8  66.66666666666666%                  1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 19 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  ------------------  ----------------  -------------------
o                     7                 26            31                 1            1  83.87096774193549%                 5  16.129032258064516%
i                     6                 18            10                 2            3  180.0%                             8  80.0%
r                     5                 13            28                 3            2  46.42857142857143%                15  53.57142857142857%
a                     4                  9             6                 4            5  150.0%                             3  50.0%
e                     3                  6             3                 5            8  200.0%                             3  100.0%
g                     3                  6             6                 6            6  100.0%                             0  0.0%
u                     2                  4             8                 7            4  50.0%                              4  50.0%
l                     2                  4             2                 8            9  200.0%                             2  100.0%
m                     2                  4             4                 9            7  100.0%                             0  0.0%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


######################## Simulation nr 20 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  ------------------  ----------------  -------------------
o                     7                 26            31                 1            1  83.87096774193549%                 5  16.129032258064516%
r                     6                 18            28                 2            2  64.28571428571429%                10  35.714285714285715%
i                     5                 13            10                 3            3  130.0%                             3  30.0%
u                     4                  9             8                 4            4  112.5%                             1  12.5%
g                     4                  9             6                 5            6  150.0%                             3  50.0%
e                     3                  6             3                 6            8  200.0%                             3  100.0%
m                     3                  6             4                 7            7  150.0%                             2  50.0%
a                     2                  4             6                 8            5  66.66666666666666%                 2  33.33333333333333%
l                     1                  2             2                 9            9  100.0%                             0  0.0%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


