simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500000
Exact occurrences of the chain:
r: 182911
o: 96970
i: 48588
e: 36825
a: 36733
m: 24648
g: 24416
f: 12363
d: 12273
l: 12173
u: 12100

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    33             223753        182911                 1            1  122.32889219347113%             40842  22.32889219347114%
o                    29              55937         96970                 2            2  57.68485098484067%              41033  42.31514901515933%
e                    28              39553         36825                 3            4  107.408010862186%                2728  7.408010862186015%
i                    27              27968         48588                 4            3  57.56153782827036%              20620  42.43846217172965%
g                    27              27968         24416                 5            7  114.5478374836173%               3552  14.547837483617302%
a                    27              27968         36733                 6            5  76.13862194756759%               8765  23.861378052432418%
m                    26              19776         24648                 7            6  80.23369036027263%               4872  19.76630963972736%
u                    25              13984         12100                 8           11  115.5702479338843%               1884  15.570247933884298%
d                    24               9888         12273                 9            9  80.56709850892202%               2385  19.432901491077974%
f                    24               9888         12363                10            8  79.98058723610774%               2475  20.01941276389226%
l                    23               6991         12173                11           10  57.43037870697445%               5182  42.56962129302555%


######################## Simulation nr 16 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    32             158217        182911                 1            1  86.49944508531472%              24694  13.500554914685283%
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
a                    29              55937         36733                 3            5  152.27996624288787%             19204  52.279966242887866%
i                    28              39553         48588                 4            3  81.4048736313493%                9035  18.595126368650696%
e                    27              27968         36825                 5            4  75.94840461642906%               8857  24.05159538357094%
m                    27              27968         24648                 6            6  113.46965271015902%              3320  13.469652710159039%
g                    26              19776         24416                 7            7  80.99606815203146%               4640  19.003931847968545%
u                    26              19776         12100                 8           11  163.43801652892563%              7676  63.43801652892562%
l                    24               9888         12173                 9           10  81.2289493140557%                2285  18.771050685944303%
d                    23               6991         12273                10            9  56.96243787175099%               5282  43.037562128249%
f                    23               6991         12363                11            8  56.54776348782657%               5372  43.45223651217342%


######################## Simulation nr 17 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    32             158217        182911                 1            1  86.49944508531472%              24694  13.500554914685283%
e                    31             111876         36825                 2            4  303.8044806517312%              75051  203.80448065173118%
o                    30              79108         96970                 3            2  81.57987006290605%              17862  18.420129937093947%
i                    30              79108         48588                 4            3  162.81386350539228%             30520  62.81386350539228%
m                    28              39553         24648                 5            6  160.47143784485556%             14905  60.47143784485557%
a                    27              27968         36733                 6            5  76.13862194756759%               8765  23.861378052432418%
g                    25              13984         24416                 7            7  57.27391874180865%              10432  42.72608125819135%
u                    24               9888         12100                 8           11  81.71900826446281%               2212  18.28099173553719%
f                    24               9888         12363                 9            8  79.98058723610774%               2475  20.01941276389226%
d                    23               6991         12273                10            9  56.96243787175099%               5282  43.037562128249%
l                    23               6991         12173                11           10  57.43037870697445%               5182  42.56962129302555%


######################## Simulation nr 18 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                    30              79108         96970                 1            2  81.57987006290605%              17862  18.420129937093947%
r                    30              79108        182911                 2            1  43.24944918566953%             103803  56.75055081433047%
i                    28              39553         48588                 3            3  81.4048736313493%                9035  18.595126368650696%
a                    28              39553         36733                 4            5  107.67702066261944%              2820  7.677020662619443%
e                    27              27968         36825                 5            4  75.94840461642906%               8857  24.05159538357094%
m                    25              13984         24648                 6            6  56.73482635507951%              10664  43.26517364492048%
l                    24               9888         12173                 7           10  81.2289493140557%                2285  18.771050685944303%
f                    24               9888         12363                 8            8  79.98058723610774%               2475  20.01941276389226%
g                    23               6991         24416                 9            7  28.63286369593709%              17425  71.36713630406291%
d                    23               6991         12273                10            9  56.96243787175099%               5282  43.037562128249%
u                    23               6991         12100                11           11  57.776859504132226%              5109  42.22314049586777%


######################## Simulation nr 19 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    32             158217        182911                 1            1  86.49944508531472%              24694  13.500554914685283%
