simulating fixed probability counter with p=0.5 20 times for test chain of size 1000000
Exact occurrences of the chain:
r: 365828
o: 195130
i: 97052
e: 73402
a: 73184
m: 48800
g: 48673
l: 24661
u: 24515
f: 24412
d: 24343

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
m                 24231             48462         48800                7            6  99.30737704918032%                338  0.6926229508196722%
l                 12342             24684         24661                8            8  100.09326466891042%                23  0.09326466891042537%
u                 12315             24630         24515                9            9  100.46910055068325%               115  0.4691005506832551%
d                 12218             24436         24343               10           11  100.38204001150228%                93  0.38204001150227995%
f                 12094             24188         24412               11           10  99.08241848271342%                224  0.9175815172865803%

######################## Simulation nr 13 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                182771            365542        365828                1            1  99.92182118372568%                286  0.07817881627431471%
o                 97421            194842        195130                2            2  99.85240608824886%                288  0.14759391175114026%
i                 48509             97018         97052                3            3  99.96496723406008%                 34  0.035032765939908506%
e                 36819             73638         73402                4            4  100.32151712487398%               236  0.32151712487398165%
a                 36709             73418         73184                5            5  100.3197420201137%                234  0.3197420201136861%
m                 24317             48634         48800                6            6  99.65983606557377%                166  0.3401639344262295%
g                 24313             48626         48673                7            7  99.90343722392292%                 47  0.09656277607708585%
d                 12281             24562         24343                8           11  100.89964260773117%               219  0.8996426077311752%
l                 12266             24532         24661                9            8  99.47690685698066%                129  0.5230931430193423%
u                 12237             24474         24515               10            9  99.83275545584335%                 41  0.16724454415663878%
f                 12152             24304         24412               11           10  99.55759462559396%                108  0.44240537440602984%

######################## Simulation nr 14 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                182929            365858        365828                1            1  100.00820057513367%                30  0.008200575133669374%
o                 97242            194484        195130                2            2  99.66893865628043%                646  0.3310613437195716%
i                 48431             96862         97052                3            3  99.80422866092404%                190  0.19577133907595928%
e                 36605             73210         73402                4            4  99.73842674586524%                192  0.26157325413476473%
a                 36441             72882         73184                5            5  99.58734149540884%                302  0.4126585045911675%
m                 24323             48646         48800                6            6  99.68442622950819%                154  0.3155737704918033%
g                 24315             48630         48673                7            7  99.91165533252521%                 43  0.08834466747478067%
l                 12345             24690         24661                8            8  100.11759458253924%                29  0.117594582539232%
u                 12288             24576         24515                9            9  100.2488272486233%                 61  0.24882724862329186%
d                 12156             24312         24343               10           11  99.87265332949924%                 31  0.12734667050075996%
f                 12128             24256         24412               11           10  99.36097001474684%                156  0.6390299852531542%

######################## Simulation nr 15 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                182650            365300        365828                1            1  99.85566987764743%                528  0.144330122352581%
o                 97211            194422        195130                2            2  99.63716496694511%                708  0.3628350330548865%
i                 48583             97166         97052                3            3  100.11746280344558%               114  0.11746280344557558%
e                 36672             73344         73402                4            4  99.92098307948012%                 58  0.07901692051987684%
a                 36611             73222         73184                5            5  100.05192391779624%                38  0.051923917796239616%
m                 24429             48858         48800                6            6  100.1188524590164%                 58  0.11885245901639345%
g                 24292             48584         48673                7            7  99.81714708359871%                 89  0.18285291640129023%
l                 12364             24728         24661                8            8  100.27168403552167%                67  0.2716840355216739%
f                 12263             24526         24412                9           10  100.46698345076193%               114  0.4669834507619204%
u                 12179             24358         24515               10            9  99.35957576993677%                157  0.6404242300632266%
d                 12077             24154         24343               11           11  99.22359610565665%                189  0.776403894343343%

######################## Simulation nr 16 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                182633            365266        365828                1            1  99.84637589249593%                562  0.15362410750407296%
o                 97440            194880        195130                2            2  99.87188028493824%                250  0.1281197150617537%
i                 48610             97220         97052                3            3  100.1731030787619%                168  0.17310307876190084%
e                 36723             73446         73402                4            4  100.05994387073922%                44  0.05994387073921691%
a                 36552             73104         73184                5            5  99.89068648885002%                 80  0.10931351114997813%
m                 24388             48776         48800                6            6  99.95081967213115%                 24  0.04918032786885246%
g                 24246             48492         48673                7            7  99.6281305857457%                 181  0.3718694142543094%
l                 12259             24518         24661                8            8  99.42013705851345%                143  0.5798629414865577%
u                 12156             24312         24515                9            9  99.17193554966347%                203  0.8280644503365288%
d                 12105             24210         24343               10           11  99.45364170398061%                133  0.5463582960193896%
f                 12067             24134         24412               11           10  98.8612157955104%                 278  1.1387842044895953%

######################## Simulation nr 17 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                182505            365010        365828                1            1  99.77639765135528%                818  0.22360234864471826%
o                 98015            196030        195130                2            2  100.4612309742223%                900  0.4612309742223133%
i                 48755             97510         97052                3            3  100.47191196471994%               458  0.47191196471994395%
e                 36811             73622         73402                4            4  100.29971935369608%               220  0.29971935369608455%
a                 36789             73578         73184                5            5  100.53836904241365%               394  0.5383690424136423%
m                 24282             48564         48800                6            6  99.51639344262296%                236  0.48360655737704916%
g                 24211             48422         48673                7            7  99.48431368520535%                251  0.51568631479465%
u                 12285             24570         24515                8            9  100.22435243728329%                55  0.22435243728329596%
l                 12260             24520         24661                9            8  99.42824702972305%                141  0.5717529702769555%
f                 12255             24510         24412               10           10  100.40144191381289%                98  0.40144191381287886%
d                 12137             24274         24343               11           11  99.71655095920798%                 69  0.28344904079201416%

######################## Simulation nr 18 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  ------------------  ----------------  --------------------
r                182719            365438        365828                1            1  99.8933925232623%                390  0.10660747673770186%
o                 97155            194310        195130                2            2  99.57976733459745%               820  0.42023266540255216%
i                 48658             97316         97052                3            3  100.2720191237687%               264  0.2720191237687013%
e                 36632             73264         73402                4            4  99.81199422359064%               138  0.18800577640936214%
a                 36563             73126         73184                5            5  99.92074770441627%                58  0.07925229558373414%
m                 24424             48848         48800                6            6  100.0983606557377%                48  0.09836065573770492%
g                 24213             48426         48673                7            7  99.49253179380766%               247  0.5074682061923449%
l                 12325             24650         24661                8            8  99.95539515834719%                11  0.04460484165281214%
u                 12252             24504         24515                9            9  99.95512951254334%                11  0.04487048745665919%
f                 12183             24366         24412               10           10  99.8115680812715%                 46  0.18843191872849419%
d                 12036             24072         24343               11           11  98.88674362239658%               271  1.1132563776034177%

######################## Simulation nr 19 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                183347            366694        365828                1            1  100.2367232688586%                866  0.23672326885858927%
o                 97188            194376        195130                2            2  99.61359093937375%                754  0.3864090606262492%
i                 48693             97386         97052                3            3  100.34414540658616%               334  0.34414540658616%
e                 36604             73208         73402                4            4  99.735702024468%                  194  0.26429797553200185%
a                 36483             72966         73184                5            5  99.70212068211632%                218  0.2978793178836904%
m                 24322             48644         48800                6            6  99.68032786885246%                156  0.31967213114754095%
g                 24158             48316         48673                7            7  99.26653380724426%                357  0.7334661927557373%
f                 12276             24552         24412                8           10  100.57348844830412%               140  0.5734884483041127%
l                 12248             24496         24661                9            8  99.33092737520782%                165  0.669072624792182%
u                 12183             24366         24515               10            9  99.39220885172342%                149  0.6077911482765654%
d                 12145             24290         24343               11           11  99.78227827301484%                 53  0.21772172698517026%

######################## Simulation nr 20 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                183376            366752        365828                1            1  100.25257771411702%               924  0.25257771411701674%
o                 97729            195458        195130                2            2  100.168093066161%                 328  0.16809306616102088%
i                 48572             97144         97052                3            3  100.09479454313153%                92  0.09479454313151713%
e                 36596             73192         73402                4            4  99.7139042532901%                 210  0.2860957467098989%
a                 36558             73116         73184                5            5  99.90708351552252%                 68  0.09291648447748141%
g                 24364             48728         48673                6            7  100.11299899328169%                55  0.11299899328169621%
m                 24349             48698         48800                7            6  99.79098360655738%                102  0.20901639344262293%
l                 12316             24632         24661                8            8  99.88240541746077%                 29  0.117594582539232%
f                 12229             24458         24412                9           10  100.1884319187285%                 46  0.18843191872849419%
u                 12211             24422         24515               10            9  99.62064042423006%                 93  0.37935957576993673%
d                 12108             24216         24343               11           11  99.47828944665818%                127  0.5217105533418231%

