simulating fixed probability counter with p=0.5 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
r                  1801               3602          3716                 1            1  96.93218514531755%                114  3.0678148546824544%
o                  1007               2014          1969                 2            2  102.28542407313357%                45  2.28542407313357%
i                   481                962           933                 3            3  103.10825294748125%                29  3.1082529474812435%
a                   381                762           749                 4            4  101.73564753004005%                13  1.7356475300400533%
e                   377                754           696                 5            5  108.33333333333333%                58  8.333333333333332%
g                   240                480           494                 6            6  97.16599190283401%                 14  2.834008097165992%
m                   239                478           479                 7            7  99.79123173277662%                  1  0.20876826722338201%
l                   131                262           253                 8            8  103.55731225296442%                 9  3.557312252964427%
f                   127                254           234                 9           10  108.54700854700855%                20  8.547008547008547%
d                   114                228           247                10            9  92.3076923076923%                  19  7.6923076923076925%
u                   113                226           230                11           11  98.26086956521739%                  4  1.7391304347826086%


######################## Simulation nr 17 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1882               3764          3716                 1            1  101.29171151776104%                48  1.2917115177610334%
o                   976               1952          1969                 2            2  99.13661757237176%                 17  0.8633824276282377%
i                   471                942           933                 3            3  100.96463022508037%                 9  0.964630225080386%
a                   383                766           749                 4            4  102.26969292389853%                17  2.2696929238985315%
e                   353                706           696                 5            5  101.4367816091954%                 10  1.4367816091954022%
m                   244                488           479                 6            7  101.87891440501045%                 9  1.8789144050104383%
g                   238                476           494                 7            6  96.35627530364373%                 18  3.643724696356275%
l                   132                264           253                 8            8  104.34782608695652%                11  4.3478260869565215%
f                   126                252           234                 9           10  107.6923076923077%                 18  7.6923076923076925%
u                   113                226           230                10           11  98.26086956521739%                  4  1.7391304347826086%
d                   112                224           247                11            9  90.68825910931174%                 23  9.31174089068826%


######################## Simulation nr 18 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1847               3694          3716                 1            1  99.40796555435952%                 22  0.5920344456404736%
