simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1789
o: 992
i: 477
a: 403
e: 373
m: 249
g: 223
u: 137
f: 128
l: 117
d: 112

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                   893              1786          1789                1            1  99.83230855226384%                  3  0.16769144773616546%
o                   493               986           992                2            2  99.39516129032258%                  6  0.6048387096774194%
i                   236               472           477                3            3  98.9517819706499%                   5  1.0482180293501049%
a                   204               408           403                4            4  101.24069478908189%                 5  1.240694789081886%
e                   168               336           373                5            5  90.0804289544236%                  37  9.919571045576408%
m                   134               268           249                6            6  107.63052208835342%                19  7.630522088353414%
g                   118               236           223                7            7  105.82959641255604%                13  5.829596412556054%
u                    68               136           137                8            8  99.27007299270073%                  1  0.7299270072992701%
f                    64               128           128                9            9  100.0%                              0  0.0%
l                    57               114           117               10           10  97.43589743589743%                  3  2.564102564102564%
d                    55               110           112               11           11  98.21428571428571%                  2  1.7857142857142856%

######################## Simulation nr 17 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   924              1848          1789                1            1  103.29793180547793%                59  3.297931805477921%
o                   507              1014           992                2            2  102.21774193548387%                22  2.217741935483871%
i                   221               442           477                3            3  92.66247379454927%                 35  7.337526205450734%
a                   216               432           403                4            4  107.19602977667493%                29  7.196029776674938%
e                   185               370           373                5            5  99.19571045576407%                  3  0.8042895442359249%
m                   119               238           249                6            6  95.58232931726907%                 11  4.417670682730924%
g                   103               206           223                7            7  92.37668161434978%                 17  7.623318385650224%
l                    63               126           117                8           10  107.6923076923077%                  9  7.6923076923076925%
u                    58               116           137                9            8  84.67153284671532%                 21  15.328467153284672%
f                    58               116           128               10            9  90.625%                            12  9.375%
d                    52               104           112               11           11  92.85714285714286%                  8  7.142857142857142%

######################## Simulation nr 18 ########################
Fixed probabilistic counter with chance: 50.0%
