simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    20               2471          3716                 1            1  66.49623250807319%               1245  33.5037674919268%
o                    19               1747          1969                 2            2  88.72524123920772%                222  11.274758760792281%
i                    17                873           933                 3            3  93.56913183279742%                 60  6.430868167202572%
m                    16                617           479                 4            7  128.8100208768267%                138  28.81002087682672%
a                    16                617           749                 5            4  82.37650200267022%                132  17.623497997329775%
g                    16                617           494                 6            6  124.89878542510122%               123  24.898785425101213%
e                    15                436           696                 7            5  62.643678160919535%               260  37.35632183908046%
f                    15                436           234                 8           10  186.32478632478632%               202  86.32478632478633%
l                    14                308           253                 9            8  121.73913043478262%                55  21.73913043478261%
u                    13                218           230                10           11  94.78260869565217%                 12  5.217391304347826%
d                    12                154           247                11            9  62.34817813765182%                 93  37.65182186234818%


######################## Simulation nr 10 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    21               3495          3716                 1            1  94.05274488697523%                221  5.947255113024758%
o                    19               1747          1969                 2            2  88.72524123920772%                222  11.274758760792281%
i                    17                873           933                 3            3  93.56913183279742%                 60  6.430868167202572%
e                    16                617           696                 4            5  88.64942528735632%                 79  11.350574712643677%
a                    16                617           749                 5            4  82.37650200267022%                132  17.623497997329775%
g                    15                436           494                 6            6  88.25910931174089%                 58  11.740890688259109%
f                    14                308           234                 7           10  131.6239316239316%                 74  31.62393162393162%
m                    14                308           479                 8            7  64.30062630480167%                171  35.699373695198325%
d                    14                308           247                 9            9  124.69635627530364%                61  24.696356275303643%
u                    13                218           230                10           11  94.78260869565217%                 12  5.217391304347826%
l                    13                218           253                11            8  86.16600790513834%                 35  13.83399209486166%


######################## Simulation nr 11 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    20               2471          3716                 1            1  66.49623250807319%               1245  33.5037674919268%
o                    20               2471          1969                 2            2  125.4951752158456%                502  25.495175215845606%
i                    18               1235           933                 3            3  132.36870310825296%               302  32.36870310825295%
e                    17                873           696                 4            5  125.43103448275863%               177  25.43103448275862%
a                    17                873           749                 5            4  116.55540720961281%               124  16.555407209612817%
m                    15                436           479                 6            7  91.02296450939458%                 43  8.977035490605429%
d                    14                308           247                 7            9  124.69635627530364%                61  24.696356275303643%
g                    14                308           494                 8            6  62.34817813765182%                186  37.65182186234818%
f                    13                218           234                 9           10  93.16239316239316%                 16  6.837606837606838%
l                    13                218           253                10            8  86.16600790513834%                 35  13.83399209486166%
u                    11                108           230                11           11  46.95652173913044%                122  53.04347826086957%


######################## Simulation nr 12 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    20               2471          3716                 1            1  66.49623250807319%               1245  33.5037674919268%
m                    19               1747           479                 2            7  364.71816283924846%              1268  264.71816283924846%
o                    18               1235          1969                 3            2  62.72219400711021%                734  37.27780599288979%
i                    18               1235           933                 4            3  132.36870310825296%               302  32.36870310825295%
e                    16                617           696                 5            5  88.64942528735632%                 79  11.350574712643677%
a                    16                617           749                 6            4  82.37650200267022%                132  17.623497997329775%
d                    14                308           247                 7            9  124.69635627530364%                61  24.696356275303643%
f                    13                218           234                 8           10  93.16239316239316%                 16  6.837606837606838%
u                    13                218           230                 9           11  94.78260869565217%                 12  5.217391304347826%
g                    13                218           494                10            6  44.12955465587044%                276  55.87044534412956%
l                    12                154           253                11            8  60.86956521739131%                 99  39.130434782608695%


######################## Simulation nr 13 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    22               4943          3716                 1            1  133.01937567276642%              1227  33.019375672766415%
o                    17                873          1969                 2            2  44.33722701879127%               1096  55.66277298120873%
i                    17                873           933                 3            3  93.56913183279742%                 60  6.430868167202572%
e                    16                617           696                 4            5  88.64942528735632%                 79  11.350574712643677%
