simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36608
o: 19604
i: 9831
a: 7296
e: 7280
g: 4973
m: 4767
f: 2444
l: 2416
d: 2406
u: 2375

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
i                    23               6991          9831                 4            3  71.1117892381243%                2840  28.888210761875698%
g                    22               4943          4973                 5            6  99.39674240900864%                 30  0.6032575909913533%
l                    21               3495          2416                 6            9  144.66059602649005%              1079  44.66059602649007%
m                    20               2471          4767                 7            7  51.83553597650514%               2296  48.164464023494865%
d                    20               2471          2406                 8           10  102.70157938487114%                65  2.7015793848711556%
a                    20               2471          7296                 9            4  33.86787280701755%               4825  66.13212719298247%
f                    19               1747          2444                10            8  71.48117839607201%                697  28.518821603927986%
u                    17                873          2375                11           11  36.757894736842104%              1502  63.242105263157896%


######################## Simulation nr 19 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                    28              39553         19604                 1            2  201.7598449296062%              19949  101.75984492960622%
r                    28              39553         36608                 2            1  108.0446896853147%               2945  8.044689685314685%
g                    24               9888          4973                 3            6  198.83370199075006%              4915  98.83370199075006%
e                    23               6991          7280                 4            5  96.03021978021978%                289  3.9697802197802194%
l                    22               4943          2416                 5            9  204.59437086092714%              2527  104.59437086092716%
i                    22               4943          9831                 6            3  50.2797273929407%                4888  49.7202726070593%
a                    22               4943          7296                 7            4  67.74945175438597%               2353  32.250548245614034%
f                    19               1747          2444                 8            8  71.48117839607201%                697  28.518821603927986%
m                    19               1747          4767                 9            7  36.647786868051185%              3020  63.35221313194882%
d                    19               1747          2406                10           10  72.61014131338321%                659  27.38985868661679%
u                    18               1235          2375                11           11  52.0%                            1140  48.0%


######################## Simulation nr 20 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    27              27968         36608                 1            1  76.3986013986014%                8640  23.6013986013986%
o                    25              13984         19604                 2            2  71.33238114670475%               5620  28.667618853295245%
e                    25              13984          7280                 3            5  192.0879120879121%               6704  92.08791208791209%
i                    25              13984          9831                 4            3  142.24392228664428%              4153  42.243922286644285%
a                    25              13984          7296                 5            4  191.66666666666669%              6688  91.66666666666666%
m                    21               3495          4767                 6            7  73.31655129011956%               1272  26.68344870988043%
d                    21               3495          2406                 7           10  145.26184538653365%              1089  45.261845386533665%
g                    21               3495          4973                 8            6  70.27950935049266%               1478  29.72049064950734%
l                    20               2471          2416                 9            9  102.27649006622516%                55  2.2764900662251653%
f                    18               1235          2444                10            8  50.53191489361703%               1209  49.46808510638298%
u                    17                873          2375                11           11  36.757894736842104%              1502  63.242105263157896%


