simulating fixed probability counter with p=0.5 20 times for test chain of size 1000
Exact occurrences of the chain:
r: 388
o: 200
i: 90
e: 71
a: 65
m: 54
g: 42
u: 27
d: 22
l: 21
f: 20

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   206               412           388                1            1  106.18556701030928%                24  6.185567010309279%
o                   104               208           200                2            2  104.0%                              8  4.0%
i                    47                94            90                3            3  104.44444444444446%                 4  4.444444444444445%
e                    35                70            71                4            4  98.59154929577466%                  1  1.4084507042253522%
a                    32                64            65                5            5  98.46153846153847%                  1  1.5384615384615385%
g                    22                44            42                6            7  104.76190476190477%                 2  4.761904761904762%
m                    19                38            54                7            6  70.37037037037037%                 16  29.629629629629626%
l                    12                24            21                8           10  114.28571428571428%                 3  14.285714285714285%
u                    12                24            27                9            8  88.88888888888889%                  3  11.11111111111111%
d                    10                20            22               10            9  90.9090909090909%                   2  9.090909090909092%
f                     9                18            20               11           11  90.0%                               2  10.0%

######################## Simulation nr 6 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   195               390           388                1            1  100.51546391752578%                 2  0.5154639175257731%
o                    81               162           200                2            2  81.0%                              38  19.0%
a                    41                82            65                3            5  126.15384615384615%                17  26.153846153846157%
i                    37                74            90                4            3  82.22222222222221%                 16  17.77777777777778%
e                    35                70            71                5            4  98.59154929577466%                  1  1.4084507042253522%
m                    28                56            54                6            6  103.7037037037037%                  2  3.7037037037037033%
g                    17                34            42                7            7  80.95238095238095%                  8  19.047619047619047%
l                    15                30            21                8           10  142.85714285714286%                 9  42.857142857142854%
d                    11                22            22                9            9  100.0%                              0  0.0%
u                    11                22            27               10            8  81.48148148148148%                  5  18.51851851851852%
f                     9                18            20               11           11  90.0%                               2  10.0%

######################## Simulation nr 7 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   182               364           388                1            1  93.81443298969072%                 24  6.185567010309279%
o                    87               174           200                2            2  87.0%                              26  13.0%
i                    50               100            90                3            3  111.11111111111111%                10  11.11111111111111%
a                    36                72            65                4            5  110.76923076923077%                 7  10.76923076923077%
e                    35                70            71                5            4  98.59154929577466%                  1  1.4084507042253522%
m                    32                64            54                6            6  118.5185185185185%                 10  18.51851851851852%
g                    23                46            42                7            7  109.52380952380953%                 4  9.523809523809524%
u                    13                26            27                8            8  96.29629629629629%                  1  3.7037037037037033%
l                    11                22            21                9           10  104.76190476190477%                 1  4.761904761904762%
f                    10                20            20               10           11  100.0%                              0  0.0%
d                     9                18            22               11            9  81.81818181818183%                  4  18.181818181818183%

######################## Simulation nr 8 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
